entity_type	entity_id	place_id	year_start	year_end	reason_predicate_id	stance	path_signature
work	first-epistle-of-peter	asia	62	64	addressed_to_place		path-367caa337c3d227c
work	first-epistle-of-peter	bithynia	62	64	addressed_to_place		path-f6624e95d20c46f9
work	first-epistle-of-peter	cappadocia	62	64	addressed_to_place		path-0a9d5f6191b1854d
work	first-epistle-of-peter	galatia	62	64	addressed_to_place		path-6d0e17e660ce3f0c
work	first-epistle-of-peter	pontus	62	64	addressed_to_place		path-dcc929e173bae381
proposition	jesus-is-proclaimed-as-raised	asia	62	64	derived_proposition_presence	affirms	drv-0d6c9bf4a8c4fbb2
proposition	jesus-is-proclaimed-as-raised	bithynia	62	64	derived_proposition_presence	affirms	drv-e7f895b2fee17341
proposition	jesus-is-proclaimed-as-raised	cappadocia	62	64	derived_proposition_presence	affirms	drv-0660d5a971e69eef
proposition	jesus-is-proclaimed-as-raised	galatia	62	64	derived_proposition_presence	affirms	drv-bd8ba7d2a09d67e0
proposition	jesus-is-proclaimed-as-raised	pontus	62	64	derived_proposition_presence	affirms	drv-d7b049956519be7b
group	disciples-of-jesus	crete	63	64	group_present_at		path-ba03be23eb02d453
person	titus	crete	63	64	active_in		path-c7a73f5be341263f
person	timothy	ephesus	63	65	active_in		path-7b7d0e58198e4b8c
work	epistle-to-titus	crete	64	64	addressed_to_place		path-c1594883f8fc8bc3
work	first-epistle-to-timothy	ephesus	64	64	addressed_to_place		path-039daab418d9fb4b
event	great-fire-of-rome	rome	64	64	event_occurs_at		path-2a5e8a88150aa9a8
event	neronian-persecution	rome	64	64	event_occurs_at		path-9a20af81f444e2b9
person	paul	nicopolis	64	64	active_in		path-e5900d885cda9db9
person	carpus	troas	66	66	active_in		path-4a1353a9910632e9
person	crescens	galatia	66	66	active_in		path-d6c2df0ac0291080
person	demas	thessalonica	66	66	active_in		path-d9792c33a263db51
person	erastus	corinth	66	66	active_in		path-50403ae7e1a86dd6
person	titus	dalmatia	66	66	active_in		path-b70e27530c775a62
person	trophimus	miletus	66	66	active_in		path-b0895583f47d6397
person	tychicus	ephesus	66	66	active_in		path-12e55813cf362b2f
group	zealots	jerusalem	66	70	group_present_at		path-b1c734a56f5d5409
event	sack-of-jerusalem	jerusalem	70	70	event_occurs_at		path-0dc26be7a0bf278c
proposition	jesus-is-the-christ	patmos	90	90	derived_proposition_presence	affirms	drv-bf1a2b222bc8648f
person	antipas-of-pergamum	pergamum	95	95	active_in		path-b52b93870da2a4bf
proposition	final-judgment-is-coming	ephesus	95	95	derived_proposition_presence	affirms	drv-f40fc86e6237deb1
