proposition_id	place_id	year_start	year_end	stance	supporting_claim_count	opposing_claim_count	derived_edge_ids	derivation_hash
baptism-effects-regeneration	rome	100	150	affirms	1	0	edge-aed9e43580a5d7be	drv-bc1522db04bfbb50
baptism-with-water-commanded	rome	100	150	affirms	1	0	edge-28c1285f6fee7ff7	drv-0eb51d9ced14f2a2
catechumenate-precedes-baptism	rome	100	150	affirms	1	0	edge-b4e2f67989e4ceb6	drv-1df62b20c896a272
christ-truly-became-flesh	rome	100	150	affirms	1	0	edge-b2790a945755660b	drv-7dc12a302252d0fd
fasting-is-required	rome	100	150	affirms	1	0	edge-95bd1bf1cb9282bb	drv-24f29e4af65bb3b4
post-baptismal-sin-forgiven-by-penance	rome	100	150	affirms	1	0	edge-c119a3aa0334f230	drv-b15343e0330940cc
rule-of-faith-received-from-apostles	rome	100	150	affirms	1	0	edge-3882343961e4e6d0	drv-cb25b6622c33c409
eucharist-is-body-and-blood	ephesus	100	155	affirms	1	0	edge-dbc89d7b7d42b8b2	drv-50c22427f4f1fb06
eucharist-is-body-and-blood	rome	100	155	affirms	1	0	edge-27699d198ca629a6	drv-bf4d52e67a0ad050
eucharist-is-body-and-blood	smyrna	100	155	affirms	1	0	edge-eb526b9dca92afb2	drv-c51302b73c0a44a2
fasting-is-required	ephesus	100	155	affirms	1	0	edge-ca08e6155e512530	drv-22a015408db4ebd3
fasting-is-required	rome	100	155	affirms	1	0	edge-cf12fae8217d794a	drv-2bee3923f2873a14
fasting-is-required	smyrna	100	155	affirms	1	0	edge-7562cc05ba367867	drv-e2cd025d8ff374bc
episcopal-unity-grounds-church-unity	antioch	107	110	affirms	1	0	edge-a30179638debbcfb	drv-b9fc7970121ba058
episcopal-unity-grounds-church-unity	ephesus	107	110	affirms	1	0	edge-d5fd65bc768cf9fb	drv-da41b95f71061ea7
episcopal-unity-grounds-church-unity	smyrna	107	110	affirms	1	0	edge-ade186e8a0bb9e83	drv-3a2e2f272a2dfdd9
episcopal-unity-grounds-church-unity	troas	107	110	affirms	1	0	edge-785fd7c7aecca351	drv-b468e8d8e1d594f4
christ-truly-suffered-and-died	ephesus	107	115	affirms	1	0	edge-4ad9f16f174696cb	drv-74071f8e1308ce95
christ-truly-suffered-and-died	philadelphia-asia	107	115	affirms	1	0	edge-c48390cdb2a07c7f	drv-e357f410f1c4fcb2
christ-truly-suffered-and-died	rome	107	115	affirms	1	0	edge-8d0b873e7fac5128	drv-0a85effa809b3a92
christ-truly-suffered-and-died	smyrna	107	115	affirms	1	0	edge-55def6105a09a5fc|edge-a3faa635e72becad	drv-24c4cabf37535ccd
apostolic-succession-transmits-faith	ephesus	110	110	affirms	1	0	edge-696d049b40d4569f	drv-1858e9be7951fc67
apostolic-succession-transmits-faith	philadelphia-asia	110	110	affirms	1	0	edge-b04bde8a9d71dfed	drv-8e639e0d0a21bc01
apostolic-succession-transmits-faith	rome	110	110	affirms	1	0	edge-55ed47fc9cbc9ee8	drv-54596f0d54c8c084
apostolic-succession-transmits-faith	smyrna	110	110	affirms	1	0	edge-9dde0babe3be26c4|edge-b2e43a6b09f259b4	drv-627c5444316e1781
baptism-effects-regeneration	ephesus	110	110	affirms	1	0	edge-94c53cbc1b318bef	drv-095c91494270f611
baptism-effects-regeneration	philadelphia-asia	110	110	affirms	1	0	edge-5ade58b6b98ebbe2	drv-b235bd4573e7dccd
baptism-effects-regeneration	rome	110	110	affirms	1	0	edge-71597f078ac2e1a1	drv-daa7385534963a89
